切れる踏切と	断掉的平交道
いつでも隣にいるし	 无论何时我都会伴你身边
いつでも一緒に笑える	 与你一同欢声笑语
私をたくさん知って	 来更加了解我吧
たくさん好きって言って	 在我耳边一直说喜欢我吧
ワガママで朝も苦手	  虽然任性又不擅长早起
ドジだしダメダメだけど	 虽然冒失又废柴
それでも私の事を 見ててね	 就算这样 也要一直注视着我哦
描く夢の未来へ続く	 描绘着梦想 向未来延伸
道を 君と 歩けますように	 愿能与你一起同行
ねぇもっと	  啊 更多
好きになってもらいたいの	 想要你更加喜欢我
頭の中は君ばっか	  脑海里想着的都是你啊
ってゆーかそっぽなんて向いてないで	  不如说不要看向别处啊
あぁもうヤキモキしちゃうわ ah	 啊真是的感觉有些心烦气乱了
ずっとずっと好きがいいの	 就这样一直一直喜欢着我吧
心の奥もトキメイちゃうくらい	 心灵的深处也感到激动不已
こっち向いててよ ねぇダーリン	  看向我这边吧 darling
あぁもう離さないから絶対に	 就这样永不分离 绝对
みんなテンション高い	感情至上
超イカしたチームでバカ騒ぎ	超活跃的团队引发的骚动
ふんばり時なら	发奋之时
覚悟を決めて行こう	做好觉悟出发吧
この道を	走上这条道路
誰だって強くなりたい	谁都想变强
それが出来りゃ苦労はしないさ	要能做到的话就不用努力了
憧れに 追いつけなくて	无法企及的憧憬
自分で自分を追い詰めている	鞭策着自己
勝ったものが正義なら	如果胜利的一方才是正义
負けた夢はどこへ行くのか	败北的梦想又该何去何从
 まるで夢の世界 キラリone night magic	尤如梦幻世界那般 闪耀的one night magic
 明日のことなんて さようならbye bye	向着明天的事情 说声再见bye bye
 まるで魔法みたい キラリone night magic	尤如神奇魔法那般 闪耀的one night magic
 明日のことなんて さようならbye bye	向着明天的事情 说声再见bye bye
 まだまだ続くparty	这个party还未结束
 ここはfreeみんなとdancing	此处还是自由大家继续跳起来
 初めてだって関係ない	第一次来也没关系
 好きにしちゃってits alright	能喜欢上就好 its alright
 人生なんて鞭と飴	所谓人生中的糖与鞭
 甘いばっかなんてダメ	光只想着甜头可不行
 一人で病んでちゃナシデンテ	一个人在那闷闷不乐便会死气沉沉
 みんなで忘れてアルデンテ	和大家一同忘记不快便会豁达开朗
 君に伝えたいmusic	想传达于你的music
 一目見たらほら夢中に	只看一眼就入迷其中
 僕を満たすようなmagic	能让我满足的magic
 もどかしい気持ちでふわり	急不可待的心情就那样轻轻地
 忘れたい夜はぐっと	想要忘却的那个夜晚
 涙をこらえるならキュート	突然忍住眼泪的话会很可爱
 てんてこ舞い へんてこ舞い	手忙脚乱 束手无策
 そんなの気にせず踊っちゃおう	别管这些 一起舞动起来就是
 まだまだ続くparty	这个派对还未结束
 ここはfreeみんなとdancing	此处还是自由大家继续跳起来
 初めてだって関係ない	第一次来也没关系了
 好きにしちゃってits alright	能喜欢上就没关系啦
 人生なんて鞭と飴	所谓人生中的糖果与鞭子
 甘いばっかなんてダメ	光只想着甜头可不行了啦
 一人で病んでちゃナシデンテ	一个人在那闷闷不乐便会死气沉沉
 みんなで忘れてアルデンテ	和大家一同忘记不快便会豁达开朗
 君に伝えたいmusic	想要传达于你的音乐
 一目見たらほら夢中に	只看一眼就入迷其中
 僕を満たすようなmagic	能让我满足的魔法
 もどかしい気持ちでふわり	带着急不可待的心情就那样轻轻地
 忘れたい夜はぐっと	想要忘却那个夜晚
 涙をこらえるならキュート	突然忍住眼泪的话会很可爱
 てんてこ舞い へんてこ舞い	手忙脚乱 束手无策
 そんなの気にせず踊っちゃおう	别管这些 一起舞动起来就是啦
もうしばらくこのアピールに	这个应援视频
お付き合い下さい	请再陪我一下
私のかわいいとこ	要是能传达我的可爱
伝われば嬉しいです	那就太令人高兴了
身長も足のサイズも	身高也好 脚的尺寸也好
隠れてるホクロも	就连藏起来的痣也是
推しなら当然知ってるはずだよね	粉丝的话一定知道的对吧
ファンが大切って	粉丝是最重要的
当たり前だけど	虽说是理所应当的事情
こんなに好きとか	但是这样喜欢粉丝的
私しかいない	除了我别无他人了
クサすぎる言葉	过于屑的话
だって本当だもん	但是 是真的哦
君の一番になるまでやめない	在成为你的第一为止不会停下
君を虜にしたのは誰	让你着迷的是谁
超絶可愛いmona	超超超可爱mona
君を幸せにするの誰	让你变得幸福的是谁
超絶可愛いmona	最最最可爱mona
もっと恋してもいいよ	在多爱一点也没有关系哦
責任取るからね	我会好好负起责任
浮気なんてさせないから	不会让你变心的
君の大好きな人は誰	你最喜欢的人是谁
超絶可愛いmona	超超超可爱mona
君が愛してる人は誰	谁是你最爱的人
超絶可愛いmona	最最最可爱mona
私も大好きだから恋人同士だね	我也最喜欢 那就是互为恋人了呢
花嫁修業頑張るね	新娘修行要加油了呢
tackするmoney aye	最高 and
tackするyeah yeah	歌姬心华
 待っていたのは君でした	我等待的是你吗
枝分かれした未来の道も今はひとつ	未来的岔路如今合二为一
もしもこの斜めに伸びる影を	如果这拉长西斜的树影
ひとまたぎするコトができたなら	能够一脚跨过的话
それをエイエンと呼びましょう	就称之为永远吧
やっと巡りアイました	终于相遇了
あの日亡くした心臓	将那天死去的心脏
くだらない夜で埋めた	在无关紧要的夜晚里埋葬了
もう届かないメールを打つよ	写着已经无法送达的邮件
but i dont know 君の心	但我不懂你的心
tell me now 誰を想ってる	告诉我 你现在在想着谁呢
一昨日落とした感情	在前天遗失的感情
留守番電話の声で泣いた	因为电话应答机里的声音而哭了
爪が伸びたらいつも	指甲长长了的时候
すぐに気付いて切ってくれた	你总是立刻就注意到 帮我剪掉
苦笑いを懐かしく思うよ	非常怀念你的苦笑
but i dont know 君は今	但我不知道你现在
tell me now 誰を想ってる	告诉我 你现在在想着谁呢
嘘つきだって罵ったって	即便撒谎 即便责骂
心の重さは測れないよ	心的重量是无法测量的哟
そんなこと本当は	那样的事情 其实
わかってたよわかってたんだよ	明白的啊 明白的啊
苦しいから苦しめたくて	因为痛苦所以想要去伤害
お互いに首を絞めた	相互扼住脖颈
そうじゃなくて本当は	其实并不是那样
抱きしめたいのにそれができない	明明想要紧紧拥抱 却无法做到
but i dont know 君の心	但我不懂你的心
tell me now 誰を想ってる	告诉我 你现在在想着谁呢
いつも far into the night	一直到深夜
いつも far into the night	一直到深夜
何もせず次第に	什么都不做
緩む her and you もう slower time	就让放松的她和你 进入慢节奏
turntableの向こうに	在唱机的前面
地下鉄の風に	地铁下的寒风
揺れる girl and youもう closing sign	摇晃的她和你 成一支终曲
今だってそう	如今都
巡る愛	不休的爱啊
今だってもう	如今已
乾いた瞬間に	在冷漠后的瞬间
改札を超えて	越过检票口
沈む girl and you もう closing time	沉沦的她和你 错过末班车
続く街並みに	然后在街上
染み込む水滴はもうすぐso drying out	渗进的雨水 已近风干
今だってそう	如今都
巡る愛	不休的爱啊
今だってもう	如今也
同じ毎日を繰り返してただ生きている	重复着同样的每一天 只是这样活着
僕はありふれた名前のないロボットだ	我是普通的 没有名字的机器人
誰か僕のこと見つけてくれたらいいのにな	如果谁能够找到我就好了呢
お役に立てそうなことはちょっとできるはず	可以帮忙的事情也肯定会有一点的
少しおどけたり後ろ指さされたり	即便被戏弄 被人在背后指点议论
笑う人もいた １人よりマシだけど	还有嘲笑我的人 虽然总比一个人好
君が僕のこと 見つけたんだね	是你找寻到了我
それがとても嬉しいから	对此真的好开心
足りないパート探してた	一直在寻找着缺少的零件
冷たくなった体でも	直到身体变的冰冷
誰かのため生きてみたい	想试着为了谁而活下去
そう願っていた	这样期望着
生まれた時から	从出生开始
ここに穴が空いていた	这里就开着空洞的孔心
もし埋められたのなら	如果能填满它
なんだか暖かいな	突然感觉好温暖啊
変な形のプレゼントは	是有着奇怪的形状的礼物
どうやら空いた穴に	感觉正好能填满这
ぴったりとハマるんだ	空洞的孔心
少し怖くなった	有点害怕
ホントに君は優しいな	你真的太温柔了
贅沢になりそうだ	对于我像是太奢侈的礼物
もう一人ぼっちに戻れない	已经回不到那孤单一人的日子
こんな素晴らしい世界だ	如此美好的世界
君が教えてくれたから	是你告诉了我
冷たくなった体が暖かくなる	冰冷的身体渐渐变得温暖
流れ始めたこの血は	开始流淌的血液
君がくれたものだから	是你给我的礼物
もう傷つきたくはない	不想再受到伤害
血を流したくはない	不想为此流血
足りないパート探してた	一直在寻找着缺少的零件
冷たくなった体でも	直到身体变的冰冷
誰かのため生きてみたい	想试着为了谁而活下去
そう願っていた	这样期望着
生まれた時から	从出生开始
ここに穴が空いていた	这里就开着空洞的孔心
もし埋められたのなら	如果能填满它
変わったのは僕だった	改变了的人是我
 アンドゥトロワでアンドゥリドゥ	 一進一退
カウントダウン超えるdawn	超过倒计时的dawn
抱き合う時間を	明明是拥抱之际
何より寂しく感じるように	却比任何时候深感寂寞
境界だらけの都市の	布满分界线的都市
出口だけ今でも見当たらない	至今仍难寻出口
ここはどこでもなくて	此处不是何处
